pickup_zone,avg_tip_percentage,bkt_total_amount,val_start,val_end
72,0.230759833863,35,316.0481289288455,352.46093261252680
226,0.230757833914,30,133.9841105104390,170.39691419412030
47,0.230756551838,29,97.5713068267577,133.98411051043900
199,0.23075441496,61,1262.7810247045593,1299.19382838824060
154,0.230746332685,61,1262.7810247045593,1299.19382838824060
239,0.230745521094,61,1262.7810247045593,1299.19382838824060
-1,0.230742189217,57,1117.1298099698341,1153.54261365351540
-1,0.230741556865,56,1080.7170062861528,1117.12980996983410
143,0.230690406046,37,388.8737362962081,425.28653997988940
94,0.23068712475,36,352.4609326125268,388.87373629620810
135,0.230611722549,31,170.3969141941203,206.80971787780160
118,0.230572433642,30,133.9841105104390,170.39691419412030
33,0.230572433642,30,133.9841105104390,170.39691419412030
13,0.2305331799,29,97.5713068267577,133.98411051043900
190,0.230432402846,28,61.1585031430764,97.57130682675770
154,0.225503244973975,33,243.2225215614829,279.63532524516420
240,0.2245318586253333,30,133.9841105104390,170.39691419412030
103,0.22446689113366666,29,97.5713068267577,133.98411051043900
71,0.2240636596124091,28,61.1585031430764,97.57130682675770
229,0.224033071264125,32,206.8097178778016,243.22252156148290
116,0.22386096639074998,31,170.3969141941203,206.80971787780160
154,0.223064911889,38,425.2865399798894,461.69934366357070
49,0.22222222222233334,29,97.5713068267577,133.98411051043900
239,0.21585671720016664,32,206.8097178778016,243.22252156148290
9,0.2153846153845,29,97.5713068267577,133.98411051043900
44,0.2153589480335,28,61.1585031430764,97.57130682675770
196,0.213662979903,30,133.9841105104390,170.39691419412030
191,0.20894039511114285,29,97.5713068267577,133.98411051043900
61,0.20834118748475,29,97.5713068267577,133.98411051043900
30,0.20810334737383332,29,97.5713068267577,133.98411051043900
87,0.20395906164142857,30,133.9841105104390,170.39691419412030
235,0.20130432192428568,31,170.3969141941203,206.80971787780160
201,0.200033932813,29,97.5713068267577,133.98411051043900
212,0.200015755475,33,243.2225215614829,279.63532524516420
91,0.200013894678,34,279.6353252451642,316.04812892884550
60,0.2,28,61.1585031430764,97.57130682675770
178,0.2,41,534.5249510309333,570.93775471461460
239,0.2,36,352.4609326125268,388.87373629620810
5,0.2,36,352.4609326125268,388.87373629620810
219,0.2,39,461.6993436635707,498.11214734725200
8,0.19999551130999996,30,133.9841105104390,170.39691419412030
35,0.199990398925,37,388.8737362962081,425.28653997988940
155,0.19998441275,33,243.2225215614829,279.63532524516420
136,0.199980872226,32,206.8097178778016,243.22252156148290
78,0.199975833736,30,133.9841105104390,170.39691419412030
236,0.199965729952,29,97.5713068267577,133.98411051043900
41,0.1995244939305417,32,206.8097178778016,243.22252156148290
180,0.1987346053905,29,97.5713068267577,133.98411051043900
238,0.19872677920749998,28,61.1585031430764,97.57130682675770
245,0.198720031999,37,388.8737362962081,425.28653997988940
201,0.198662149845,28,61.1585031430764,97.57130682675770
83,0.198600647742,28,61.1585031430764,97.57130682675770
15,0.198079231693,40,498.1121473472520,534.52495103093330
117,0.19611649553130836,32,206.8097178778016,243.22252156148290
248,0.19491006582578219,30,133.9841105104390,170.39691419412030
114,0.19393064647158412,29,97.5713068267577,133.98411051043900
50,0.19385362096740003,28,61.1585031430764,97.57130682675770
33,0.19303820061153848,28,61.1585031430764,97.57130682675770
15,0.19283155712199998,28,61.1585031430764,97.57130682675770
143,0.18969958550692306,36,352.4609326125268,388.87373629620810
96,0.18895524053174187,28,61.1585031430764,97.57130682675770
99,0.188935985219,28,61.1585031430764,97.57130682675770
7,0.18875871227833332,28,61.1585031430764,97.57130682675770
41,0.18802514380066668,36,352.4609326125268,388.87373629620810
235,0.18763749053262113,29,97.5713068267577,133.98411051043900
71,0.1833423047595,32,206.8097178778016,243.22252156148290
240,0.1833333333335,35,316.0481289288455,352.46093261252680
6,0.18329512869999998,36,352.4609326125268,388.87373629620810
102,0.1832920203465,27,24.7456994593951,61.15850314307640
94,0.18216210179523332,29,97.5713068267577,133.98411051043900
41,0.180001592847,34,279.6353252451642,316.04812892884550
165,0.179617834395,28,61.1585031430764,97.57130682675770
85,0.1780871973152,31,170.3969141941203,206.80971787780160
75,0.17789795501415545,29,97.5713068267577,133.98411051043900
241,0.1778093883355,28,61.1585031430764,97.57130682675770
248,0.1774404103341667,29,97.5713068267577,133.98411051043900
106,0.1769151726408045,29,97.5713068267577,133.98411051043900
31,0.17634592165410504,27,24.7456994593951,61.15850314307640
53,0.175636941909,28,61.1585031430764,97.57130682675770
51,0.17042012580670865,28,61.1585031430764,97.57130682675770
215,0.17019790623712,30,133.9841105104390,170.39691419412030
220,0.1695560691644692,28,61.1585031430764,97.57130682675770
145,0.16955509570633334,31,170.3969141941203,206.80971787780160
180,0.16912801751666345,28,61.1585031430764,97.57130682675770
51,0.1691179150052,29,97.5713068267577,133.98411051043900
228,0.16848638902050003,29,97.5713068267577,133.98411051043900
215,0.16743796942750697,29,97.5713068267577,133.98411051043900
15,0.1671309686179154,29,97.5713068267577,133.98411051043900
178,0.16694389332490306,28,61.1585031430764,97.57130682675770
217,0.166716551931,28,61.1585031430764,97.57130682675770
217,0.166700590271,29,97.5713068267577,133.98411051043900
186,0.16669047279,28,61.1585031430764,97.57130682675770
174,0.16669047279,28,61.1585031430764,97.57130682675770
162,0.16669047279,28,61.1585031430764,97.57130682675770
19,0.166688768068,28,61.1585031430764,97.57130682675770
79,0.166688724193,30,133.9841105104390,170.39691419412030
