pickup_zone,avg_trip_distance,bkt_total_amount,val_start,val_end
161,19.37,37,388.8737362962081,425.28653997988940
88,19.3,29,97.5713068267577,133.98411051043900
154,19.299769196626734,29,97.5713068267577,133.98411051043900
41,19.211362763915552,29,97.5713068267577,133.98411051043900
39,19.116913580246916,29,97.5713068267577,133.98411051043900
220,19.086923076923078,28,61.1585031430764,97.57130682675770
127,19.083333333333332,30,133.9841105104390,170.39691419412030
235,19.075000000000003,33,243.2225215614829,279.63532524516420
75,19.071428571428573,31,170.3969141941203,206.80971787780160
85,19.02196721311475,29,97.5713068267577,133.98411051043900
229,19.02136894824708,29,97.5713068267577,133.98411051043900
135,18.916999999999998,28,61.1585031430764,97.57130682675770
186,18.85,26,-11.6671042242862,24.74569945939510
36,18.81072916666667,28,61.1585031430764,97.57130682675770
13,18.8,30,133.9841105104390,170.39691419412030
145,18.79927272727273,29,97.5713068267577,133.98411051043900
91,18.73857142857143,30,133.9841105104390,170.39691419412030
131,18.684201735275032,28,61.1585031430764,97.57130682675770
133,18.49,30,133.9841105104390,170.39691419412030
247,18.473333333333333,28,61.1585031430764,97.57130682675770
208,18.465,29,97.5713068267577,133.98411051043900
117,18.407797356828194,29,97.5713068267577,133.98411051043900
51,18.404,29,97.5713068267577,133.98411051043900
135,18.4,30,133.9841105104390,170.39691419412030
105,18.326999999999998,28,61.1585031430764,97.57130682675770
251,18.3,28,61.1585031430764,97.57130682675770
256,18.2,30,133.9841105104390,170.39691419412030
72,18.183333333333334,32,206.8097178778016,243.22252156148290
8,18.16484393063584,28,61.1585031430764,97.57130682675770
131,18.15,52,935.0657915514276,971.47859523510890
184,18.15,28,61.1585031430764,97.57130682675770
85,18.029999999999998,34,279.6353252451642,316.04812892884550
114,17.97727272727273,30,133.9841105104390,170.39691419412030
186,17.9725,28,61.1585031430764,97.57130682675770
106,17.955357142857142,29,97.5713068267577,133.98411051043900
61,17.945,29,97.5713068267577,133.98411051043900
70,17.924319526627215,29,97.5713068267577,133.98411051043900
132,17.83857142857143,28,61.1585031430764,97.57130682675770
105,17.8,29,97.5713068267577,133.98411051043900
240,17.7756468688319,28,61.1585031430764,97.57130682675770
141,17.771666666666665,29,97.5713068267577,133.98411051043900
