pickup_zone,avg_trip_distance,bkt_passenger_count,val_start,val_end
228,5.141979166666666,2,2.649781677329658,3.9746725159944870
97,5.125000000000001,4,5.299563354659316,6.6244541933241450
52,5.077582417582418,0,0E-15,1.3248908386648290
53,5.075050761421322,0,0E-15,1.3248908386648290
35,5.073829787234043,1,1.324890838664829,2.6497816773296580
0,5.0569999999999995,1,1.324890838664829,2.6497816773296580
91,5.0434042553191505,1,1.324890838664829,2.6497816773296580
37,5.04,1,1.324890838664829,2.6497816773296580
24,5.036666666666666,0,0E-15,1.3248908386648290
17,5.02625,0,0E-15,1.3248908386648290
58,5.002142857142857,3,3.974672515994487,5.2995633546593160
255,5.000666666666667,4,5.299563354659316,6.6244541933241450
158,4.99625,2,2.649781677329658,3.9746725159944870
212,4.9704999999999995,4,5.299563354659316,6.6244541933241450
240,4.96,5,6.624454193324145,7.9493450319889740
70,4.938536585365854,3,3.974672515994487,5.2995633546593160
91,4.937741935483871,3,3.974672515994487,5.2995633546593160
197,4.930784313725491,1,1.324890838664829,2.6497816773296580
70,4.9255813953488365,4,5.299563354659316,6.6244541933241450
74,4.911969696969698,0,0E-15,1.3248908386648290
67,4.9075,0,0E-15,1.3248908386648290
88,4.894971098265896,0,0E-15,1.3248908386648290
47,4.88875,1,1.324890838664829,2.6497816773296580
133,4.879311294765838,0,0E-15,1.3248908386648290
151,4.878333333333333,2,2.649781677329658,3.9746725159944870
216,4.8742857142857146,3,3.974672515994487,5.2995633546593160
37,4.86529411764706,0,0E-15,1.3248908386648290
