pickup_zone,avg_tip_amount,bkt_passenger_count,val_start,val_end
235,1.7248729884293135,2,2.649781677329658,3.9746725159944870
172,1.7237749388595704,0,0E-15,1.3248908386648290
105,1.7197560975609758,4,5.299563354659316,6.6244541933241450
132,1.7186666666666666,4,5.299563354659316,6.6244541933241450
253,1.717979492099666,0,0E-15,1.3248908386648290
157,1.7175004160426026,1,1.324890838664829,2.6497816773296580
126,1.7162921348314604,0,0E-15,1.3248908386648290
253,1.7160026385224274,4,5.299563354659316,6.6244541933241450
125,1.715,1,1.324890838664829,2.6497816773296580
191,1.7111777777777777,3,3.974672515994487,5.2995633546593160
228,1.70875,3,3.974672515994487,5.2995633546593160
113,1.7048579545454543,2,2.649781677329658,3.9746725159944870
215,1.704666778624959,0,0E-15,1.3248908386648290
75,1.6997626406419002,1,1.324890838664829,2.6497816773296580
172,1.6990337524818,4,5.299563354659316,6.6244541933241450
48,1.6983333333333335,4,5.299563354659316,6.6244541933241450
94,1.6953275109170307,1,1.324890838664829,2.6497816773296580
197,1.6934,3,3.974672515994487,5.2995633546593160
45,1.6931564245810053,0,0E-15,1.3248908386648290
45,1.692551390568319,4,5.299563354659316,6.6244541933241450
31,1.6888461538461537,3,3.974672515994487,5.2995633546593160
68,1.680745233968804,2,2.649781677329658,3.9746725159944870
33,1.680011086474501,1,1.324890838664829,2.6497816773296580
245,1.678466819221968,2,2.649781677329658,3.9746725159944870
171,1.6762675127740227,1,1.324890838664829,2.6497816773296580
157,1.675758642765685,3,3.974672515994487,5.2995633546593160
248,1.6755373312831137,1,1.324890838664829,2.6497816773296580
157,1.6726806670784442,4,5.299563354659316,6.6244541933241450
171,1.6723201034305626,0,0E-15,1.3248908386648290
197,1.6705263157894736,4,5.299563354659316,6.6244541933241450
69,1.6666666666666667,2,2.649781677329658,3.9746725159944870
164,1.6619230663853837,1,1.324890838664829,2.6497816773296580
94,1.6615686274509807,4,5.299563354659316,6.6244541933241450
75,1.6589295352323832,3,3.974672515994487,5.2995633546593160
171,1.6584830053667254,4,5.299563354659316,6.6244541933241450
87,1.6569230769230763,4,5.299563354659316,6.6244541933241450
61,1.6543548387096776,3,3.974672515994487,5.2995633546593160
143,1.650699638118214,3,3.974672515994487,5.2995633546593160
75,1.6462499503659789,0,0E-15,1.3248908386648290
75,1.6460595070186055,4,5.299563354659316,6.6244541933241450
87,1.645788254592706,0,0E-15,1.3248908386648290
0,1.6456521739130436,0,0E-15,1.3248908386648290
215,1.6455133991537392,4,5.299563354659316,6.6244541933241450
215,1.6432301889106962,1,1.324890838664829,2.6497816773296580
105,1.642561983471074,1,1.324890838664829,2.6497816773296580
157,1.6407077182887226,0,0E-15,1.3248908386648290
164,1.6386531949259833,0,0E-15,1.3248908386648290
248,1.63675027159617,0,0E-15,1.3248908386648290
120,1.6357142857142857,0,0E-15,1.3248908386648290
18,1.63375,2,2.649781677329658,3.9746725159944870
143,1.6336342752124968,1,1.324890838664829,2.6497816773296580
126,1.6326829268292682,4,5.299563354659316,6.6244541933241450
163,1.6320000000000001,2,2.649781677329658,3.9746725159944870
