pickup_zone,avg_trip_distance,bkt_tip_amount,val_start,val_end
70,18.932115384615386,91,17.9426762495439574,20.56622214239608880
229,18.928999999999995,94,25.8133139281003516,28.43685982095248300
85,18.86769230769231,95,28.4368598209524830,31.06040571380461440
92,18.855,101,44.1781351780652714,46.80168107091740280
186,18.85,84,-0.4221450004209624,2.20140089243116900
137,18.81793103448276,99,38.9310433923610086,41.55458928521314000
96,18.8,107,59.9194105351780598,62.54295642803019120
161,18.795,105,54.6723187494737970,57.29586464232592840
51,18.735,90,15.3191303566918260,17.94267624954395740
181,18.663333333333334,88,10.0720385709875632,12.69558446383969460
131,18.657533875338757,89,12.6955844638396946,15.31913035669182600
131,18.64,122,99.2725989279600308,101.89614482081216220
227,18.6,94,25.8133139281003516,28.43685982095248300
235,18.59526315789474,93,23.1897680352482202,25.81331392810035160
75,18.496666666666666,97,33.6839516066567458,36.30749749950887720
78,18.48,88,10.0720385709875632,12.69558446383969460
64,18.44,90,15.3191303566918260,17.94267624954395740
219,18.4,92,20.5662221423960888,23.18976803524822020
159,18.4,88,10.0720385709875632,12.69558446383969460
141,18.398333333333333,90,15.3191303566918260,17.94267624954395740
221,18.37,89,12.6955844638396946,15.31913035669182600
239,18.32452380952381,92,20.5662221423960888,23.18976803524822020
68,18.3,117,86.1548694636993738,88.77841535655150520
251,18.3,95,28.4368598209524830,31.06040571380461440
77,18.29,89,12.6955844638396946,15.31913035669182600
87,18.275000000000002,96,31.0604057138046144,33.68395160665674580
248,18.265,141,149.1199708921505274,151.74351678500265880
41,18.258333333333336,96,31.0604057138046144,33.68395160665674580
131,18.225839712544925,88,10.0720385709875632,12.69558446383969460
128,18.21,96,31.0604057138046144,33.68395160665674580
87,18.2,117,86.1548694636993738,88.77841535655150520
220,18.2,89,12.6955844638396946,15.31913035669182600
131,18.19,117,86.1548694636993738,88.77841535655150520
117,18.174999999999997,110,67.7900482137344540,70.41359410658658540
212,18.16,90,15.3191303566918260,17.94267624954395740
128,18.158,91,17.9426762495439574,20.56622214239608880
117,18.11780487804878,93,23.1897680352482202,25.81331392810035160
36,18.106153846153845,90,15.3191303566918260,17.94267624954395740
164,18.102307692307697,92,20.5662221423960888,23.18976803524822020
87,18.1,102,46.8016810709174028,49.42522696376953420
118,18.1,90,15.3191303566918260,17.94267624954395740
