pickup_zone,avg_passenger_count,bkt_tip_amount,val_start,val_end
71,2.125,88,10.0720385709875632,12.69558446383969460
133,2.125,89,12.6955844638396946,15.31913035669182600
54,2.125,84,-0.4221450004209624,2.20140089243116900
63,2.125,87,7.4484926781354318,10.07203857098756320
156,2.1176470588235294,84,-0.4221450004209624,2.20140089243116900
178,2.1,87,7.4484926781354318,10.07203857098756320
228,2.1,89,12.6955844638396946,15.31913035669182600
201,2.088235294117647,86,4.8249467852833004,7.44849267813543180
68,2.0714285714285716,89,12.6955844638396946,15.31913035669182600
113,2.0689655172413794,88,10.0720385709875632,12.69558446383969460
253,2.066666666666667,91,17.9426762495439574,20.56622214239608880
116,2.0625,90,15.3191303566918260,17.94267624954395740
51,2.02803738317757,87,7.4484926781354318,10.07203857098756320
15,2.0256410256410255,88,10.0720385709875632,12.69558446383969460
220,2.017857142857143,87,7.4484926781354318,10.07203857098756320
226,2.0166666666666666,89,12.6955844638396946,15.31913035669182600
131,2.0,141,149.1199708921505274,151.74351678500265880
144,2.0,88,10.0720385709875632,12.69558446383969460
141,2.0,91,17.9426762495439574,20.56622214239608880
77,2.0,85,2.2014008924311690,4.82494678528330040
31,2.0,127,112.3903283922206878,115.01387428507281920
136,2.0,107,59.9194105351780598,62.54295642803019120
127,2.0,127,112.3903283922206878,115.01387428507281920
178,2.0,92,20.5662221423960888,23.18976803524822020
14,2.0,112,73.0371399994387168,75.66068589229084820
31,2.0,104,52.0487728566216656,54.67231874947379700
71,2.0,125,107.1432366065164250,109.76678249936855640
31,2.0,133,128.1316037493334762,130.75514964218560760
172,2.0,96,31.0604057138046144,33.68395160665674580
112,2.0,84,-0.4221450004209624,2.20140089243116900
136,2.0,99,38.9310433923610086,41.55458928521314000
154,2.0,122,99.2725989279600308,101.89614482081216220
161,2.0,118,88.7784153565515052,91.40196124940363660
178,2.0,101,44.1781351780652714,46.80168107091740280
72,2.0,106,57.2958646423259284,59.91941053517805980
70,2.0,185,264.5559901776443090,267.17953607049644040
118,2.0,90,15.3191303566918260,17.94267624954395740
154,2.0,113,75.6606858922908482,78.28423178514297960
31,2.0,90,15.3191303566918260,17.94267624954395740
161,2.0,99,38.9310433923610086,41.55458928521314000
253,2.0,112,73.0371399994387168,75.66068589229084820
157,2.0,95,28.4368598209524830,31.06040571380461440
180,2.0,121,96.6490530351078994,99.27259892796003080
109,2.0,112,73.0371399994387168,75.66068589229084820
31,2.0,101,44.1781351780652714,46.80168107091740280
78,2.0,85,2.2014008924311690,4.82494678528330040
181,2.0,85,2.2014008924311690,4.82494678528330040
154,2.0,106,57.2958646423259284,59.91941053517805980
116,2.0,113,75.6606858922908482,78.28423178514297960
219,2.0,113,75.6606858922908482,78.28423178514297960
97,2.0,90,15.3191303566918260,17.94267624954395740
171,2.0,96,31.0604057138046144,33.68395160665674580
14,2.0,105,54.6723187494737970,57.29586464232592840
41,2.0,104,52.0487728566216656,54.67231874947379700
49,2.0,118,88.7784153565515052,91.40196124940363660
240,2.0,112,73.0371399994387168,75.66068589229084820
70,2.0,99,38.9310433923610086,41.55458928521314000
219,2.0,91,17.9426762495439574,20.56622214239608880
240,2.0,117,86.1548694636993738,88.77841535655150520
75,2.0,108,62.5429564280301912,65.16650232088232260
165,2.0,87,7.4484926781354318,10.07203857098756320
41,2.0,217,348.5094587489125138,351.13300464176464520
