pickup_zone,avg_total_amount,bkt_tip_amount,val_start,val_end
54,189.35,96,31.0604057138046144,33.68395160665674580
17,189.18,118,88.7784153565515052,91.40196124940363660
137,187.452,106,57.2958646423259284,59.91941053517805980
-1,186.8,153,180.6025216063761042,183.22606749922823560
164,186.8,122,99.2725989279600308,101.89614482081216220
-1,186.55,152,177.9789757135239728,180.60252160637610420
116,186.16,122,99.2725989279600308,101.89614482081216220
248,186.10500000000002,126,109.7667824993685564,112.39032839222068780
6,185.51,95,28.4368598209524830,31.06040571380461440
253,184.8,152,177.9789757135239728,180.60252160637610420
131,184.3,154,183.2260674992282356,185.84961339208036700
145,183.54500000000002,110,67.7900482137344540,70.41359410658658540
136,182.92,98,36.3074974995088772,38.93104339236100860
215,182.62,95,28.4368598209524830,31.06040571380461440
141,181.8,112,73.0371399994387168,75.66068589229084820
154,181.126,122,99.2725989279600308,101.89614482081216220
91,181.0,95,28.4368598209524830,31.06040571380461440
85,180.78,102,46.8016810709174028,49.42522696376953420
154,180.5071428571429,110,67.7900482137344540,70.41359410658658540
-1,179.335,120,94.0255071422557680,96.64905303510789940
219,179.20499999999998,95,28.4368598209524830,31.06040571380461440
85,178.88,106,57.2958646423259284,59.91941053517805980
131,178.70125000000004,103,49.4252269637695342,52.04877285662166560
117,178.53,109,65.1665023208823226,67.79004821373445400
131,178.3,152,177.9789757135239728,180.60252160637610420
114,177.8,141,149.1199708921505274,151.74351678500265880
196,177.70999999999998,95,28.4368598209524830,31.06040571380461440
49,177.6,118,88.7784153565515052,91.40196124940363660
131,177.4895,98,36.3074974995088772,38.93104339236100860
-1,177.16000000000003,106,57.2958646423259284,59.91941053517805980
240,176.68,117,86.1548694636993738,88.77841535655150520
131,176.49333333333334,102,46.8016810709174028,49.42522696376953420
248,176.475,100,41.5545892852131400,44.17813517806527140
179,175.8,87,7.4484926781354318,10.07203857098756320
144,175.8,112,73.0371399994387168,75.66068589229084820
247,175.61,95,28.4368598209524830,31.06040571380461440
-1,174.62391304347824,107,59.9194105351780598,62.54295642803019120
131,174.02,96,31.0604057138046144,33.68395160665674580
137,173.68,118,88.7784153565515052,91.40196124940363660
219,173.55,97,33.6839516066567458,36.30749749950887720
106,173.4,116,83.5313235708472424,86.15486946369937380
161,172.695,105,54.6723187494737970,57.29586464232592840
208,171.36,95,28.4368598209524830,31.06040571380461440
248,171.055,141,149.1199708921505274,151.74351678500265880
145,170.38,97,33.6839516066567458,36.30749749950887720
25,170.345,93,23.1897680352482202,25.81331392810035160
34,170.3,103,49.4252269637695342,52.04877285662166560
-1,170.0,147,164.8612462492633158,167.48479214211544720
215,169.99999999999997,103,49.4252269637695342,52.04877285662166560
131,169.8,141,149.1199708921505274,151.74351678500265880
68,169.3,108,62.5429564280301912,65.16650232088232260
6,168.805,100,41.5545892852131400,44.17813517806527140
251,168.64,113,75.6606858922908482,78.28423178514297960
240,168.6,116,83.5313235708472424,86.15486946369937380
-1,168.57222222222222,101,44.1781351780652714,46.80168107091740280
85,167.8,110,67.7900482137344540,70.41359410658658540
131,167.8,109,65.1665023208823226,67.79004821373445400
-1,166.38764705882355,97,33.6839516066567458,36.30749749950887720
164,166.14,98,36.3074974995088772,38.93104339236100860
239,166.05,122,99.2725989279600308,101.89614482081216220
78,165.52,96,31.0604057138046144,33.68395160665674580
131,164.92333333333335,110,67.7900482137344540,70.41359410658658540
8,164.89999999999998,99,38.9310433923610086,41.55458928521314000
61,164.85333333333332,107,59.9194105351780598,62.54295642803019120
-1,164.8276595744681,99,38.9310433923610086,41.55458928521314000
240,164.775,105,54.6723187494737970,57.29586464232592840
70,164.512,97,33.6839516066567458,36.30749749950887720
-1,164.13000000000002,145,159.6141544635590530,162.23770035641118440
137,164.0748275862069,97,33.6839516066567458,36.30749749950887720
70,164.03,96,31.0604057138046144,33.68395160665674580
74,163.8,145,159.6141544635590530,162.23770035641118440
161,163.01,94,25.8133139281003516,28.43685982095248300
-1,162.6042424242424,98,36.3074974995088772,38.93104339236100860
-1,162.525,114,78.2842317851429796,80.90777767799511100
229,162.48333333333332,122,99.2725989279600308,101.89614482081216220
22,162.3,91,17.9426762495439574,20.56622214239608880
219,162.3,122,99.2725989279600308,101.89614482081216220
-1,161.94285714285712,110,67.7900482137344540,70.41359410658658540
131,161.88,136,136.0022414278898704,138.62578732074200180
117,161.59,114,78.2842317851429796,80.90777767799511100
157,161.16,94,25.8133139281003516,28.43685982095248300
128,160.48,96,31.0604057138046144,33.68395160665674580
221,159.55333333333334,97,33.6839516066567458,36.30749749950887720
74,159.41,94,25.8133139281003516,28.43685982095248300
-1,159.3929032258065,96,31.0604057138046144,33.68395160665674580
131,159.12481481481484,97,33.6839516066567458,36.30749749950887720
137,158.3421621621622,95,28.4368598209524830,31.06040571380461440
131,158.34,122,99.2725989279600308,101.89614482081216220
137,158.25500000000002,96,31.0604057138046144,33.68395160665674580
92,157.92,96,31.0604057138046144,33.68395160665674580
92,157.145,101,44.1781351780652714,46.80168107091740280
221,156.96,94,25.8133139281003516,28.43685982095248300
127,156.96,94,25.8133139281003516,28.43685982095248300
-1,156.598,102,46.8016810709174028,49.42522696376953420
25,156.41,94,25.8133139281003516,28.43685982095248300
227,156.36,94,25.8133139281003516,28.43685982095248300
118,156.35,97,33.6839516066567458,36.30749749950887720
85,156.23333333333332,101,44.1781351780652714,46.80168107091740280
131,156.0,126,109.7667824993685564,112.39032839222068780
137,155.96944444444446,100,41.5545892852131400,44.17813517806527140
-1,155.8,142,151.7435167850026588,154.36706267785479020
15,155.31,141,149.1199708921505274,151.74351678500265880
128,155.26285714285717,94,25.8133139281003516,28.43685982095248300
154,155.14111111111114,112,73.0371399994387168,75.66068589229084820
131,155.09487394957983,95,28.4368598209524830,31.06040571380461440
85,155.08666666666667,103,49.4252269637695342,52.04877285662166560
131,154.64848484848483,99,38.9310433923610086,41.55458928521314000
-1,154.3,141,149.1199708921505274,151.74351678500265880
72,153.84,114,78.2842317851429796,80.90777767799511100
171,153.8,141,149.1199708921505274,151.74351678500265880
70,152.293,95,28.4368598209524830,31.06040571380461440
154,151.96666666666667,104,52.0487728566216656,54.67231874947379700
137,151.8,123,101.8961448208121622,104.51969071366429360
240,151.6,113,75.6606858922908482,78.28423178514297960
85,151.58333333333334,97,33.6839516066567458,36.30749749950887720
79,151.12,93,23.1897680352482202,25.81331392810035160
-1,151.0,140,146.4964249992983960,149.11997089215052740
70,150.9828,93,23.1897680352482202,25.81331392810035160
1,150.96,93,23.1897680352482202,25.81331392810035160
178,150.41,93,23.1897680352482202,25.81331392810035160
41,149.8166666666667,108,62.5429564280301912,65.16650232088232260
-1,149.8,139,143.8728791064462646,146.49642499929839600
229,149.12666666666664,97,33.6839516066567458,36.30749749950887720
-1,148.8134210526316,95,28.4368598209524830,31.06040571380461440
219,148.145,93,23.1897680352482202,25.81331392810035160
245,147.875,105,54.6723187494737970,57.29586464232592840
215,147.3,135,133.3786955350377390,136.00224142788987040
240,146.68,112,73.0371399994387168,75.66068589229084820
131,146.64960000000002,94,25.8133139281003516,28.43685982095248300
116,146.6,101,44.1781351780652714,46.80168107091740280
131,146.08,117,86.1548694636993738,88.77841535655150520
87,145.78,117,86.1548694636993738,88.77841535655150520
8,145.68,111,70.4135941065865854,73.03713999943871680
75,145.22750000000002,96,31.0604057138046144,33.68395160665674580
83,145.09,90,15.3191303566918260,17.94267624954395740
127,144.96,93,23.1897680352482202,25.81331392810035160
215,144.78666666666666,96,31.0604057138046144,33.68395160665674580
137,144.6376923076923,103,49.4252269637695342,52.04877285662166560
221,144.36,93,23.1897680352482202,25.81331392810035160
157,144.04,96,31.0604057138046144,33.68395160665674580
196,143.84,112,73.0371399994387168,75.66068589229084820
132,143.8,93,23.1897680352482202,25.81331392810035160
196,143.79,93,23.1897680352482202,25.81331392810035160
-1,143.3,137,138.6257873207420018,141.24933321359413320
41,143.1809090909091,107,59.9194105351780598,62.54295642803019120
-1,142.80444444444444,108,62.5429564280301912,65.16650232088232260
248,142.67,111,70.4135941065865854,73.03713999943871680
131,142.34,132,125.5080578564813448,128.13160374933347620
-1,142.2644827586207,94,25.8133139281003516,28.43685982095248300
154,141.85,133,128.1316037493334762,130.75514964218560760
117,141.32,96,31.0604057138046144,33.68395160665674580
154,141.00357142857143,98,36.3074974995088772,38.93104339236100860
234,140.85,91,17.9426762495439574,20.56622214239608880
182,140.84,89,12.6955844638396946,15.31913035669182600
