pickup_zone,avg_tip_amount,bkt_trip_distance,val_start,val_end
23,0.8273084886128365,0,0E-12,2981.0954655035120
127,0.8097154873824843,0,0E-12,2981.0954655035120
216,0.7912254901960786,0,0E-12,2981.0954655035120
98,0.7866666666666666,0,0E-12,2981.0954655035120
48,0.783846153846154,0,0E-12,2981.0954655035120
56,0.7776225490196077,0,0E-12,2981.0954655035120
182,0.776060606060606,0,0E-12,2981.0954655035120
151,0.7725177304964539,0,0E-12,2981.0954655035120
163,0.7620886075949369,0,0E-12,2981.0954655035120
121,0.736,0,0E-12,2981.0954655035120
160,0.582,0,0E-12,2981.0954655035120
89,0.5515000000000001,0,0E-12,2981.0954655035120
107,0.5,0,0E-12,2981.0954655035120
252,0.47866666666666663,0,0E-12,2981.0954655035120
115,0.3333333333333333,0,0E-12,2981.0954655035120
225,0.0,0,0E-12,2981.0954655035120
143,0.0,94,280222.973757330128,283204.0692228336400
189,0.0,0,0E-12,2981.0954655035120
80,0.0,0,0E-12,2981.0954655035120
205,0.0,0,0E-12,2981.0954655035120
143,0.0,554,1651526.887888945648,1654507.9833544491600
200,0.0,0,0E-12,2981.0954655035120
207,0.0,0,0E-12,2981.0954655035120
81,0.0,0,0E-12,2981.0954655035120
143,0.0,470,1401114.868786650640,1404095.9642521541520
246,0.0,0,0E-12,2981.0954655035120
211,0.0,0,0E-12,2981.0954655035120
116,0.0,818,2438536.090781872816,2441517.1862473763280
24,0.0,0,0E-12,2981.0954655035120
169,0.0,0,0E-12,2981.0954655035120
167,0.0,0,0E-12,2981.0954655035120
176,0.0,0,0E-12,2981.0954655035120
140,0.0,0,0E-12,2981.0954655035120
248,0.0,2683,7998279.133945922696,8001260.2294114262080
41,0.0,212,631992.238686744544,634973.3341522480560
